run_dir,tp_size,dp_size,pp_size,total_gpus,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput
run_20250715_235836,1,1,1,1,13019.623875617981,13893.408942222595,13899.18818473816,13934.85515832901,12730.319023132324,13947.526216506958,588.3713314106212
run_20250715_235934,1,2,1,2,9949.712991714478,10878.45013141632,11000.188076496124,11081.391541957855,10092.536266644796,11095.924854278564,464.4938362184533
run_20250716_000037,1,4,1,4,10395.959258079529,10811.110234260559,10884.6342086792,10915.153398513794,10060.840368270874,10924.842596054077,591.2102252506617
run_20250716_000134,1,8,1,8,11378.729581832886,12076.002502441406,12179.941046237946,12204.412355422974,11230.72523276011,12208.04476737976,569.6837414565221
run_20250716_000237,2,1,1,2,11770.220637321472,12120.01633644104,12373.425376415253,12471.831176280975,11693.860014279684,12492.387533187866,569.7737411308376
run_20250716_000420,2,2,1,4,13221.112728118896,13437.133598327637,13457.412207126617,13482.831420898438,13166.674749056498,13493.01290512085,535.1719184666589
run_20250716_000545,2,4,1,8,11455.42824268341,11976.092505455017,12063.694059848785,12126.175436973572,11426.506360371908,12142.045736312866,608.5456489490007
run_20250716_000710,4,1,1,4,11147.1449136734,11390.419387817383,11521.123206615448,12011.879689693451,11103.789838155111,12204.472541809082,568.5916675923303
run_20250716_000812,4,2,1,8,11040.83800315857,11154.741716384888,11160.806822776794,11221.334307193756,10935.986161231995,11245.516300201416,717.2527516278174
run_20250716_000939,8,1,1,8,10857.461214065552,11377.060103416443,11598.253154754637,11982.26113319397,10880.747556686401,12069.087505340576,494.5967618831044
