Metric,Percentile,Benchmark_Value_s,Simulation_Value_s,Absolute_Diff_s,Percent_Diff,Benchmark_Value_ms,Simulation_Value_ms,Absolute_Diff_ms
Total Latency,P50,3.056899,5.896718,2.839819,92.898681,3056.899071,5896.718000,2839.818929
Total Latency,P95,10.182414,13.970928,3.788514,37.206438,10182.414424,13970.928100,3788.513676
Total Latency,P99,13.367528,15.635292,2.267764,16.964724,13367.527945,15635.292190,2267.764245
Time to First Token,P50,0.059547,0.826143,0.766596,1287.382878,59.546828,826.142500,766.595672
Time to First Token,P95,0.659534,1.377889,0.718354,108.918426,659.534359,1377.888800,718.354441
Time to First Token,P99,0.919869,1.604608,0.684739,74.438753,919.869215,1604.608390,684.739175
Total Latency,Mean,3.940073,6.399635,2.459562,62.424273,3940.072916,6399.634781,2459.561865
Total Latency,Std Dev,3.381486,3.963422,0.581936,17.209460,3381.486192,3963.421703,581.935511
Total Latency,Min,0.056255,0.453683,0.397428,706.477822,56.254864,453.683000,397.428136
Total Latency,Max,17.268062,16.754039,-0.514023,-2.976727,17268.062115,16754.039000,-514.023115
Time to First Token,Mean,0.155006,0.764451,0.609445,393.175651,155.005798,764.450852,609.445054
Time to First Token,Std Dev,0.218320,0.360429,0.142109,65.091884,218.320384,360.429234,142.108850
Time to First Token,Min,0.028148,0.096862,0.068714,244.120510,28.147697,96.862000,68.714303
Time to First Token,Max,1.104288,1.748319,0.644031,58.320878,1104.288340,1748.319000,644.030660
