sep=;
IO Type;Instance Type;Storage Type;Redundancy;Utilization;AWS Instance Type;Rate Unit;2025 IMR;2024 IMR;2025 Public Price;2024 Public Price;2025 Discount Vs. Public price;2024 Discount Vs. Public price;IMR YoY%;Public Price YoY%;Discount Rate YoY%
;r5d.large;;;On Demand;;Hrs;0.009356103;0.01251773;0.144;0.144;93.50270625;91.3071319444;-25.2571912;0;2.4046032975
;r6i.12xlarge;;;On Demand;;Hrs;0.242194613;0.315176133;3.024;3.024;91.9909188823;89.5775088294;-23.1557888934;0;2.6942143005
;r5ad.2xlarge;;;On Demand;;Hrs;0.037424413;0.064644082;0.524;0.524;92.8579364504;87.6633431298;-42.1069774028;0;5.9256162669
;c6id.24xlarge;;;On Demand;;Hrs;0.30785759;0.468666642;4.8384;4.8384;93.6372025876;90.3136028026;-34.3120328159;0;3.6800655514
;m5.24xlarge;;;On Demand;;Hrs;0.341674168;0.334747562;4.608;4.608;92.5851960069;92.7355129774;2.0692028222;0;-0.1620921324
;x2iedn.16xlarge;;;On Demand;;Hrs;1.922391716;1.206297392;13.338;13.338;85.5871066427;90.9559349828;59.3630002642;0;-5.9026696181
;c7i-flex.8xlarge;;;On Demand;;Hrs;0.094563216;0.09578486;1.3566;1.3566;93.0293958425;92.9393439481;-1.275404067;0;0.0968931892
;c7i-flex.2xlarge;;;On Demand;;Hrs;0.023640804;0.023946215;0.33915;0.33915;93.0293958425;92.9393439481;-1.275404067;0;0.0968931892
;t3.small;;;On Demand;;Hrs;0.001051502;0.00142;0.0208;0.0208;94.9447019231;93.1730769231;-25.9505633803;0;1.9014344685
;m5a.2xlarge;;;On Demand;;Hrs;0.028472847;0.028732499;0.344;0.344;91.723009593;91.6475293605;-0.9036874934;0;0.082359266
;p5en.48xlarge;;;On Demand;;Hrs;13.68933828;;0;;;;;;
;i4i.xlarge;;;On Demand;;Hrs;0.038886157;0.044440666;0.343;0.343;88.6629279883;87.0435376093;-12.4987078276;0;1.8604372289
;m7i.12xlarge;;;On Demand;;Hrs;0.167487337;0.17255029;2.4192;2.4192;93.0767469825;92.8674648644;-2.9341897948;0;0.225355692
;t4g.medium;;;On Demand;;Hrs;0.001261803;0.00180775;0.0336;0.0336;96.2446339286;94.6197916667;-30.200359563;0;1.7172329734
;c6in.24xlarge;;;On Demand;;Hrs;0.293633846;0.432533503;5.4432;5.4432;94.6054922472;92.0536907885;-32.1130400389;0;2.7720794645
;c3.medium;;;On Demand;;Hrs;;0.004546757;;;;;;;
;g4dn.12xlarge;;;On Demand;;Hrs;0.942648844;0.942648844;3.912;3.912;75.903659407;75.903659407;0;0;0
;r5ad.8xlarge;;;On Demand;;Hrs;0.149697653;0.258576329;2.096;2.096;92.8579364027;87.6633430821;-42.10697724;0;5.9256162701
;m7gd.medium;;;On Demand;;Hrs;0.003847226;0.003694792;0.0534;0.0534;92.7954569288;93.0809138577;4.1256449619;0;-0.3066761134
;m6i.24xlarge;;;On Demand;;Hrs;0.334974674;0.41640281;4.608;4.608;92.7305843316;90.9634806858;-19.5551360472;0;1.942651746
;t4i.4xlarge;;;On Demand;;Hrs;0.065258427;;;;;;;;
;r7gd.xlarge;;;On Demand;;Hrs;0.021426343;0.020780729;0.2722;0.2722;92.1284559148;92.3656396032;3.1067918743;0;-0.2567877941
;m5dn.8xlarge;;;On Demand;;Hrs;0.147545867;0.157854452;2.176;2.176;93.2193994945;92.745659375;-6.5304366582;0;0.5107949231
;m8g.48xlarge;;;On Demand;;Hrs;0.586800624;0.694830229;8.61696;8.61696;93.1901665553;91.9364807426;-15.5476259511;0;1.3636434662
;c6gd.16xlarge;;;On Demand;;Hrs;0.205238394;0.213086077;2.4576;2.4576;91.6488283691;91.3295053304;-3.6828699043;0;0.3496384192
;e3.2xlarge;;;On Demand;;Hrs;;0.087029592;;;;;;;
;c6i.16xlarge;;;On Demand;;Hrs;0.210140481;0.263938725;2.72;2.72;92.2742470221;90.2963704044;-20.3828536339;0;2.1904275984
;c8g.4xlarge;;;On Demand;;Hrs;0.04532287;0.048512137;0.63808;0.63808;92.8969925401;92.3971701041;-6.5741630801;0;0.5409499397
;p3.4xlarge;;;On Demand;;Hrs;;0.207020869;;;;;;;
;r5dn.xlarge;;;On Demand;;Hrs;0.024758475;0.028047521;0.334;0.334;92.5872829341;91.6025386228;-11.7266905692;0;1.0750185815
;g4ad.16xlarge;;;On Demand;;Hrs;1.025231641;1.025231641;3.468;3.468;70.437380594;70.437380594;0;0;0
;m5a.8xlarge;;;On Demand;;Hrs;0.113891389;0.114929996;1.376;1.376;91.7230095203;91.6475293605;-0.9036866233;0;0.0823591867
;r5d.24xlarge;;;On Demand;;Hrs;0.44909296;0.600851034;6.912;6.912;93.5027060185;91.3071320313;-25.2571877907;0;2.4046029465
;m5a.xlarge;;;On Demand;;Hrs;0.014236424;0.01436625;0.172;0.172;91.7230093023;91.6475290698;-0.9036874619;0;0.0823592663
;i4i.32xlarge;;;On Demand;;Hrs;1.244357036;1.422101315;10.9824;10.9824;88.6695345644;87.051087968;-12.4987071684;0;1.8591916933
;d3en.xlarge;;;On Demand;;Hrs;0.057274838;0.068058492;0.526;0.526;89.1112475285;87.0611231939;-15.8446854802;0;2.354810344
;c5n.9xlarge;;;On Demand;;Hrs;0.110112692;0.196514704;1.944;1.944;94.3357668724;89.89121893;-43.9671995231;0;4.9443627479
;c6id.4xlarge;;;On Demand;;Hrs;0.051309598;0.078111107;0.8064;0.8064;93.637202629;90.3136028026;-34.3120332426;0;3.6800655973
;r7g.16xlarge;;;On Demand;;Hrs;0.288962773;0.284291091;3.4272;3.4272;91.5685465394;91.7048584559;1.6432741468;0;-0.1486419791
;g5.12xlarge;;;On Demand;;Hrs;1.107429947;1.167666297;5.672;5.672;80.4754945874;79.4134997003;-5.1586956098;0;1.3372976775
;r6in.xlarge;;;On Demand;;Hrs;0.025253644;0.028770642;0.34866;0.34866;92.7569425802;91.7482240578;-12.2242597159;0;1.099442014
;r6i.large;;;On Demand;;Hrs;0.010091442;0.013132339;0.126;0.126;91.9909190476;89.5775087302;-23.1557912113;0;2.6942145987
;c6gn.16xlarge;;;On Demand;;Hrs;0.195755897;0.197230317;2.7648;2.7648;92.9197085865;92.8663803168;-0.7475625565;0;0.0574247317
;r5a.xlarge;;;On Demand;;Hrs;0.020645947;0.020572131;0.226;0.226;90.8646252212;90.8972871681;0.3588155257;0;-0.0359328071
;r5dn.24xlarge;;;On Demand;;Hrs;0.594203397;0.673140515;8.016;8.016;92.5872829716;91.6025384855;-11.7266924574;0;1.0750187739
;m5zn.large;;;On Demand;;Hrs;0.016633684;0.017679421;0.1652;0.1652;89.9311840194;89.2981713075;-5.9149957456;0;0.708875336
;x2gd.16xlarge;;;On Demand;;Hrs;0.383595447;0.354481011;5.344;5.344;92.8219414858;93.3667475487;8.2132568732;0;-0.5835118789
;m5a.12xlarge;;;On Demand;;Hrs;0.170837084;0.172394994;2.064;2.064;91.7230094961;91.6475293605;-0.9036863333;0;0.0823591603
;g6.2xlarge;;;On Demand;;Hrs;0.207264571;0.218278384;0.9776;0.9776;78.7986322627;77.67201473;-5.0457644033;0;1.4504806353
;m8g.16xlarge;;;On Demand;;Hrs;0.195600208;0.231610077;2.87232;2.87232;93.1901665553;91.9364807194;-15.5476261942;0;1.3636434918
;r6in.16xlarge;;;On Demand;;Hrs;0.40405831;0.460330273;5.57856;5.57856;92.7569424726;91.7482240399;-12.2242586031;0;1.0994419165
;r6idn.large;;;On Demand;;Hrs;0.012747024;0.016784889;0.19539;0.19539;93.4761123906;91.4095455243;-24.0565487207;0;2.2607779685
;m3.xlarge;;;On Demand;;Hrs;0.019128504;0.019128504;0.266;0.266;92.8088330827;92.8088330827;0;0;0
;c5a.18xlarge;;;On Demand;;Hrs;;0.232278286;;;;;;;
;c6i.xlarge;;;On Demand;;Hrs;0.01313378;0.01649617;0.17;0.17;92.2742470588;90.2963705882;-20.3828525046;0;2.190427431
;m8g.medium;;;On Demand;;Hrs;0.003056253;0.003618907;0.04488;0.04488;93.1901671123;91.9364817291;-15.547622528;0;1.3636429844
;c7g-flex.large;;;On Demand;;Hrs;0.005098823;0.005402062;;;;;-5.6133935523;;
;c6i.2xlarge;;;On Demand;;Hrs;0.02626756;0.032992341;0.34;0.34;92.2742470588;90.2963702941;-20.3828549178;0;2.1904277639
;m8g.24xlarge;;;On Demand;;Hrs;0.293400312;0.347415115;4.30848;4.30848;93.1901665553;91.936480731;-15.5476260726;0;1.363643479
;hpc5a.48xlarge;;;On Demand;;Hrs;0.706134831;0.832280899;;;;;-15.1566698397;;
;a1.medium;;;On Demand;;Hrs;0.004721693;0.004721693;0.0255;0.0255;81.4835568627;81.4835568627;0;0;0
;im4gn.2xlarge;;;On Demand;;Hrs;0.064786715;0.06721812;0.72758;0.72758;91.0955888012;90.7614118035;-3.6171868538;0;0.3681928157
;r6i.xlarge;;;On Demand;;Hrs;0.020182884;0.026264678;0.252;0.252;91.9909190476;89.5775087302;-23.1557912113;0;2.6942145987
;g2.2xlarge;;;On Demand;;Hrs;0.107294335;0.107294335;0.65;0.65;83.4931792308;83.4931792308;0;0;0
;m7g-flex.4xlarge;;;On Demand;;Hrs;0.044010047;0.04649001;;;;;-5.334399799;;
;a1.2xlarge;;;On Demand;;Hrs;0.037773544;0.037773544;0.204;0.204;81.4835568627;81.4835568627;0;0;0
;c7i.large;;;On Demand;;Hrs;0.00656689;0.006651726;0.08925;0.08925;92.642140056;92.5470857143;-1.2753982951;0;0.102709168
;m6a.32xlarge;;;On Demand;;Hrs;0.446632899;0.446330082;5.5296;5.5296;91.9228714735;91.9283477648;0.0678459759;0;-0.0059571301
;c6as.2xlarge;;;On Demand;;Hrs;0.02626756;;;;;;;;
;m6as.12xlarge;;;On Demand;;Hrs;0.167487337;;;;;;;;
;m6id.32xlarge;;;On Demand;;Hrs;0.432505997;0.677635967;7.5936;7.5936;94.3043352692;91.0762225163;-36.1742855954;0;3.5444078199
;p2.16xlarge;;;On Demand;;Hrs;0.467250454;0.467250454;14.4;14.4;96.7552051806;96.7552051806;0;0;0
;c7g-flex.2xlarge;;;On Demand;;Hrs;0.020395292;0.021608247;;;;;-5.6133891842;;
;r5n.16xlarge;;;On Demand;;Hrs;0.350679229;0.410920561;4.768;4.768;92.6451503985;91.3816996435;-14.6600919295;0;1.3826080713
;c6a.32xlarge;;;On Demand;;Hrs;0.420280962;0.412939175;4.896;4.896;91.4158300245;91.5657848243;1.7779342442;0;-0.163767285
;d3en.6xlarge;;;On Demand;;Hrs;0.343649029;0.408088846;3.154;3.154;89.1043427711;87.0612287254;-15.7906342287;0;2.3467553532
;r7g.4xlarge;;;On Demand;;Hrs;0.072240693;0.071072773;0.8568;0.8568;91.5685465686;91.7048584267;1.6432734375;0;-0.1486419154
;r7a.2xlarge;;;On Demand;;Hrs;0.040365769;0.041827467;0.6086;0.6086;93.3674385475;93.1272647059;-3.4945888547;0;0.2578985245
;c7g-flex.8xlarge;;;On Demand;;Hrs;0.081581167;0.086432989;;;;;-5.6133914332;;
;m7g-flex.medium;;;On Demand;;Hrs;0.002750628;;;;;;;;
;t3.2xlarge;;;On Demand;;Hrs;0.016824036;0.016824037;0.3328;0.3328;94.9447007212;94.9447004207;-0.0000059439;0;3.165e-7
;x2ezn.4xlarge;;;On Demand;;Hrs;;0.210168044;;;;;;;
