model_name,tensor_parallel_size,num_replicas,network_device,qps
Qwen/Qwen2.5-1.5B,1,1,a10g_g5,"[2.0, 4.0, 8.0, 16.0, 32.0, 36.0, 38.0, 39.0, 40.0, 48.0, 64.0]"
Qwen/Qwen2.5-1.5B,1,1,h100_p5,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 160.0, 176.0, 192.0, 256.0]"
Qwen/Qwen2.5-1.5B,1,1,l40s_g6e48,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 144.0, 160.0, 192.0, 256.0]"
Qwen/Qwen2.5-1.5B,1,1,l4_g6,"[2.0, 4.0, 8.0, 16.0, 32.0, 36.0, 38.0, 39.0, 40.0, 48.0, 64.0]"
Qwen/Qwen2.5-1.5B,1,1,p4d_a100_40g_nvlink,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 96.0, 104.0, 108.0, 112.0, 128.0]"
Qwen/Qwen2.5-1.5B,1,2,a10g_g5,"[4.0, 8.0, 16.0, 32.0, 64.0, 80.0, 88.0, 92.0, 96.0, 128.0]"
Qwen/Qwen2.5-1.5B,1,2,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 384.0, 448.0, 512.0]"
Qwen/Qwen2.5-1.5B,1,2,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 320.0, 384.0, 512.0]"
Qwen/Qwen2.5-1.5B,1,2,l4_g6,"[4.0, 8.0, 16.0, 32.0, 64.0, 80.0, 88.0, 92.0, 96.0, 128.0]"
Qwen/Qwen2.5-1.5B,1,2,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 192.0, 224.0, 240.0, 256.0]"
Qwen/Qwen2.5-1.5B,1,4,a10g_g5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 192.0, 208.0, 224.0, 256.0]"
Qwen/Qwen2.5-1.5B,1,4,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 1024.0, 2048.0]"
Qwen/Qwen2.5-1.5B,1,4,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 1024.0, 2048.0]"
Qwen/Qwen2.5-1.5B,1,4,l4_g6,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 192.0, 208.0, 224.0, 256.0]"
Qwen/Qwen2.5-1.5B,1,4,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 768.0, 1024.0]"
Qwen/Qwen2.5-1.5B,1,8,a10g_g5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 384.0, 448.0, 512.0]"
Qwen/Qwen2.5-1.5B,1,8,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 1024.0, 2048.0]"
Qwen/Qwen2.5-1.5B,1,8,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 1024.0, 2048.0]"
Qwen/Qwen2.5-1.5B,1,8,l4_g6,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 384.0, 448.0, 512.0]"
