Metric,Percentile,Benchmark_Value_s,Simulation_Value_s,Absolute_Diff_s,Percent_Diff,Benchmark_Value_ms,Simulation_Value_ms,Absolute_Diff_ms
Total Latency,P50,3.587318,28.565058,24.977740,696.278894,3587.318301,28565.058500,24977.740199
Total Latency,P95,11.735878,38.405274,26.669396,227.246702,11735.878193,38405.274300,26669.396107
Total Latency,P99,14.007002,41.178543,27.171541,193.985409,14007.002258,41178.542890,27171.540632
Time to First Token,P50,0.075172,13.650375,13.575203,18058.954769,75.171590,13650.375000,13575.203410
Time to First Token,P95,0.307069,27.939970,27.632901,8998.937073,307.068503,27939.969850,27632.901347
Time to First Token,P99,0.569721,29.417556,28.847836,5063.506011,569.720578,29417.556300,28847.835722
Decode Time,P50,3.489239,9.394103,5.904864,169.230704,3489.239097,9394.103000,5904.863903
Decode Time,P95,11.679787,30.766161,19.086373,163.413705,11679.787374,30766.160650,19086.373276
Decode Time,P99,13.961768,35.047516,21.085748,151.024912,13961.768003,35047.515830,21085.747827
Total Latency,Mean,4.523329,26.248438,21.725109,480.290323,4523.328567,26248.437961,21725.109394
Total Latency,Std Dev,3.641937,9.895844,6.253907,171.719277,3641.936620,9895.843836,6253.907216
Total Latency,Min,0.083256,1.868188,1.784932,2143.914204,83.255768,1868.188000,1784.932232
Total Latency,Max,17.462359,43.542967,26.080608,149.353293,17462.358952,43542.967000,26080.608048
Time to First Token,Mean,0.103410,14.593235,14.489825,14011.981628,103.410250,14593.235422,14489.825172
Time to First Token,Std Dev,0.115384,8.725698,8.610314,7462.341826,115.383544,8725.697986,8610.314443
Time to First Token,Min,0.039515,0.653696,0.614181,1554.277632,39.515495,653.696000,614.180505
Time to First Token,Max,0.855959,29.658125,28.802166,3364.898506,855.959415,29658.125000,28802.165585
Decode Time,Mean,4.419918,11.655203,7.235284,163.697238,4419.918317,11655.202539,7235.284222
Decode Time,Std Dev,3.640589,9.240366,5.599778,153.815166,3640.588691,9240.366243,5599.777552
Decode Time,Min,0.000003,0.000000,-0.000003,-100.000000,0.002861,0.000000,-0.002861
Decode Time,Max,17.403743,42.338160,24.934417,143.270424,17403.743267,42338.160000,24934.416733
