Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-23_01-07-20-340528,meta-llama/Meta-Llama-3-8B,1,1,1,28.095745393333335,28.5238555,37.0527947,38.30777603,27.455867259999994,27.5554865,37.013655,38.26390554
2025-07-23_01-09-45-455226,meta-llama/Meta-Llama-3-8B,1,2,1,15.721434833333333,16.675116,20.0990392,20.89051104,15.671873573333333,16.5852635,20.052518,20.84977952
2025-07-23_01-13-18-917235,meta-llama/Meta-Llama-3-8B,1,4,1,8.355788839999999,8.711007,9.7479004,10.06475543,8.331954266666669,8.704585000000002,9.7385472,10.06102976
2025-07-23_01-17-44-644642,meta-llama/Meta-Llama-3-8B,1,8,1,6.75806254,7.1645635,7.7415199999999995,7.9369593499999995,6.7420516600000004,7.160406999999999,7.736074,7.93427013
2025-07-23_01-20-37-897668,meta-llama/Meta-Llama-3-8B,2,1,1,14.725462946666667,15.683364000000001,18.8694085,19.43255668,14.684028586666667,15.648595499999999,18.812167199999998,19.41142837
2025-07-23_01-21-10-782170,meta-llama/Meta-Llama-3-8B,2,2,1,8.947958893333334,9.2161225,9.9166573,10.17029234,8.936015833333334,9.207873,9.869411799999998,10.12536686
2025-07-23_01-21-44-179898,meta-llama/Meta-Llama-3-8B,2,4,1,6.693862026666667,6.904132000000001,7.2256838,7.47818338,6.686281326666666,6.8954585,7.2224623999999995,7.47144534
2025-07-23_01-22-19-884576,meta-llama/Meta-Llama-3-8B,4,1,1,9.01044206,9.294409,9.852200100000001,10.0730506,9.003967946666668,9.284742,9.8440675,10.06211822
2025-07-23_01-22-56-574498,meta-llama/Meta-Llama-3-8B,4,2,1,7.513481286666665,7.602221,7.819984,7.92531594,7.507717573333332,7.596214,7.8120058,7.91616764
2025-07-23_01-23-34-232484,meta-llama/Meta-Llama-3-8B,8,1,1,7.6548055999999995,7.7417685,7.9465036,7.9708404,7.64870416,7.7341855,7.9401677,7.9609339
