Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,12.85769276,13.256502000000001,17.2016685,17.43880406,12.785776606666667,13.110177499999999,17.1400277,17.411400829999998
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,7.446857839999999,7.905996,9.666181700000001,9.81566426,7.418925886666666,7.855049,9.636859,9.80250135
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,7.144016799999999,7.5063625,8.515363200000001,8.74123319,7.126879766666668,7.5017365,8.492264,8.731815549999999
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,5.352075719999999,5.4365995,6.1014577,6.416027879999999,5.340402419999999,5.4271135,6.0889641,6.400143679999999
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,6.50774912,6.756177,7.504392299999999,7.68674211,6.49732416,6.745509500000001,7.4958324,7.654614639999999
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,4.014101753333334,4.1357865,4.3953074,4.583474359999999,4.008522026666666,4.133756,4.3925749,4.57927534
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,4.921262673333334,5.026502000000001,5.3048507,5.3530283999999995,4.915938093333334,5.023441,5.3010245,5.35113277
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,4.76321672,4.8688955,5.0405435999999995,5.0893928399999995,4.759416913333333,4.8660365,5.0353573,5.08338427
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,3.279912153333333,3.298781,3.4302379000000003,3.50542122,3.2770439066666666,3.294829,3.4257646999999998,3.50048049
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,4.263484813333333,4.280883,4.4008882,4.4639675,4.259905366666667,4.275341,4.3955492,4.46166734
