Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,12.633058313333335,12.9265045,16.532262499999998,16.77748047,12.58712202,12.894116,16.4716138,16.76475945
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,8.241480813333332,8.714201,10.5384189,10.76213325,8.215363553333333,8.705229,10.512632,10.73652018
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,7.6730945,8.152497,9.0168425,9.11788033,7.656176266666665,8.146119500000001,9.0040532,9.11091134
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,5.939461580000001,5.9662675,6.7677734,7.0649795399999995,5.927698146666667,5.957455,6.7621021,7.05534064
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,7.384553986666666,7.7528965,8.5991942,8.72236963,7.372880686666667,7.749155,8.577083700000001,8.71655209
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,4.916378,5.0533085,5.4231584,5.57588645,4.9100080733333336,5.051243,5.4212183000000005,5.57139548
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,5.776070113333334,5.949488499999999,6.175998399999999,6.26028418,5.769887793333334,5.945437500000001,6.1674147,6.25739964
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,5.512870153333334,5.6282844999999995,5.788452,5.928258609999999,5.5087146066666675,5.6256450000000005,5.7807083,5.9247714
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,4.111367186666667,4.1658145,4.290219899999999,4.35602531,4.108041566666666,4.1637035000000004,4.2868008,4.35092092
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,5.004090273333333,5.0370985,5.1145632,5.19098994,4.999858779999999,5.0327945,5.1087142,5.18413304
