Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250717_003225,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,0.25,512,0.7,0.9,8728.923254013062,8776.145696640015,9298.61409664154,9870.911202430725,199.44452285766602,197.8130340576172,213.9758586883545,266.07494354248036,16.924007228639486,16.473054885864258,17.099595069885257,41.67725086212158,123.20765925271485,150,307344,75748
run_20250717_004311,meta-llama/Meta-Llama-3-8B,2,1,1,512,512,8,0.25,512,0.7,0.9,9277.892808914185,9148.868918418884,10583.353304862976,10881.565926074982,195.93548456827799,196.54536247253418,206.0328245162964,224.31706428527826,18.088175467463216,16.954660415649414,20.032644271850586,41.503636837005615,133.00855289704222,150,307344,75464
run_20250717_005309,meta-llama/Meta-Llama-3-8B,4,1,1,512,512,8,0.25,512,0.7,0.9,8797.564827601114,8689.510464668274,9911.005425453186,10330.49024105072,193.85151704152426,191.1715269088745,206.0891628265381,249.59903717041004,17.171928847861555,16.115188598632812,18.864059448242188,39.9511528015137,124.31122276351533,150,307344,75305
run_20250717_010347,meta-llama/Meta-Llama-3-8B,8,1,1,512,512,8,0.25,512,0.7,0.9,8644.920859336853,8722.98264503479,9027.813267707825,9680.192129611969,193.84876569112143,192.24750995635986,203.1909942626953,230.40589570999146,16.78775453123574,16.197919845581055,16.684532165527344,39.998912811279276,133.20042772829294,150,307344,75661
run_20250717_011351,meta-llama/Meta-Llama-3-8B,1,2,1,512,512,8,0.25,512,0.7,0.9,10765.14623006185,10960.458040237427,11058.467054367065,11124.96255159378,149.1034189860026,147.88222312927246,158.24644565582275,218.0474877357482,21.0652397805321,21.040916442871094,22.12569713592529,28.6357569694519,122.48111924040631,150,307344,75744
run_20250717_012443,meta-llama/Meta-Llama-3-8B,2,2,1,512,512,8,0.25,512,0.7,0.9,11181.778416633606,10944.353461265564,12650.737261772156,12908.959085941315,147.5439421335856,146.60251140594482,159.85195636749268,188.5283684730527,21.943236390486206,21.045207977294922,25.676250457763672,29.6592855453491,114.19402508576711,150,307344,75579
run_20250717_013620,meta-llama/Meta-Llama-3-8B,4,2,1,512,512,8,0.25,512,0.7,0.9,11067.638686498007,11224.73168373108,12221.58329486847,13067.954392433167,151.5593385696411,148.95915985107422,165.32795429229736,226.81149721145607,21.707403160579997,21.250247955322266,25.15554428100586,29.617857933044426,141.24931271559873,150,307344,75585
run_20250717_014553,meta-llama/Meta-Llama-3-8B,1,4,1,512,512,8,0.25,512,0.7,0.9,10231.164722442627,10469.66814994812,10607.627892494202,11119.652216434477,121.84933503468831,121.48416042327881,133.46972465515137,189.62352514266948,20.114561891836622,20.245790481567383,20.729541778564453,24.24041748046879,104.99932278152897,150,307344,75538
run_20250717_015826,meta-llama/Meta-Llama-3-8B,2,4,1,512,512,8,0.25,512,0.7,0.9,10644.715139071146,10669.248104095459,11657.647323608398,12262.050013542175,125.62524477640788,124.65870380401611,136.44206523895264,185.60503005981442,20.903550960862745,20.575284957885742,23.77767562866211,27.53046989440916,132.87788089656001,150,307344,75633
run_20250717_020832,meta-llama/Meta-Llama-3-8B,1,8,1,512,512,8,0.25,512,0.7,0.9,11425.078287124634,12189.59891796112,12511.640286445618,12559.491937160492,118.52151870727539,117.13206768035889,134.99908447265625,175.69863319396924,22.575478047578784,23.593425750732422,24.57871437072754,27.636470794677734,129.29393028634087,150,307344,75275
