Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,57224.27371819814,63505.41174411774,77164.60132598877,77333.8618183136,27342.287413279217,29806.19478225708,60377.13325023651,63275.31089305878,59.20976121177894,72.40676879882812,82.59057998657227,84.50770378112793,811.9379080161269,150.0,307344.0,75852.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,32270.689668655396,33858.895778656006,34404.230546951294,34674.532442092896,6873.238622347514,4028.1749963760376,17320.144057273865,20577.747261524197,50.61067213798094,54.38947677612305,74.54562187194824,77.38852500915527,1456.8003604875323,150.0,307344.0,75423.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,20590.173581441242,21380.477786064148,21769.86231803894,22069.358048439026,2991.8735567728677,2035.4933738708496,7603.837871551513,9554.229176044462,34.95840899315446,35.5379581451416,47.171831130981445,48.7213134765625,1953.8902287115848,150.0,307344.0,75661.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,13583.59456539154,13875.300526618958,14501.542520523071,14854.788656234741,545.4948393503824,406.54194355010986,1188.9698266983032,1756.1126470565791,25.828923254976083,25.578975677490234,28.876304626464844,34.38059329986572,2423.5392644506946,150.0,307344.0,75868.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,33393.52481524149,33583.66513252258,36307.76808261871,37067.206802368164,5504.36470190684,683.3786964416504,21957.090663909912,22561.846673488617,55.40451744428594,52.53720283508301,81.13253116607666,122.3759412765503,1388.8652873413093,150.0,307344.0,75656.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,15744.354677200317,16103.147268295288,17989.4588470459,18124.423158168793,329.3711566925049,268.1920528411865,589.4667863845825,849.4545888900752,30.709986487657602,23.91338348388672,50.98366737365723,59.34099197387695,2316.9037373225306,150.0,307344.0,75443.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,12957.254538536072,13213.98675441742,13706.640028953552,13786.52971982956,192.21253395080566,163.37668895721436,292.01822280883783,509.0197134017944,25.41486277705578,24.130940437316895,31.085753440856934,36.917686462402344,2450.252538943315,150.0,307344.0,75490.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,17500.886877377827,17815.361738204956,20579.99551296234,21047.21304655075,312.0056915283203,295.2532768249512,407.2525024414062,559.5972490310666,34.12658407848702,26.90911293029785,57.19161033630371,82.97324180603027,2259.174223194674,150.0,307344.0,75702.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,14582.550347646078,15035.321712493896,15572.908759117126,15632.054297924042,205.52457332611084,190.78922271728516,263.0906105041504,356.9883060455318,28.61288605784016,26.234865188598633,36.066293716430664,45.69440841674805,2307.7714953861014,150.0,307344.0,75520.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,15073.845156033834,15275.415539741516,18610.08243560791,18919.07034635544,278.0914815266927,263.0636692047119,384.9647283554077,458.28508138656593,29.407605482431332,20.917654037475586,48.578548431396484,58.725271224974406,2473.3195981352883,150.0,307344.0,75619.0
