Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,62008.898413976036,68521.46565914154,85891.48664474487,86305.6235408783,32159.75447177887,34770.87903022766,68936.33177280426,72899.30389642715,59.1446860318883,72.39627838134766,82.57126808166504,84.24735069274902,812.4704349778567,150.0,307344.0,75852.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,38963.85422706604,40228.39879989624,45401.135540008545,46454.90133047104,13134.71810499827,10392.245769500732,29345.838999748226,33744.460401535034,51.40262233819208,54.97884750366211,76.02758407592773,78.46665382385254,1434.3962404601946,150.0,307344.0,75523.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,26439.879390398663,27344.322681427002,31898.472666740417,32930.76014518738,8180.035411516826,7172.754168510437,17635.969281196594,20363.808174133297,36.25237968722723,36.92817687988281,48.20442199707031,51.111698150634766,1922.0528955357017,150.0,307344.0,75719.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,19377.614008585613,19274.831414222717,24211.81445121765,25146.3525557518,5856.392381985982,5290.173172950745,11853.262186050415,13305.927901268005,26.888275826054766,26.293039321899414,31.327247619628906,38.908958435058594,2382.246075769022,150.0,307344.0,75611.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,39188.546096483864,38662.31620311737,46172.53770828247,46472.13092327118,10387.810977300009,4926.539421081543,32347.903156280518,34246.61652088165,57.43222919613259,58.57443809509277,81.47597312927246,122.63779640197754,1386.087365555193,150.0,307344.0,75371.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,18865.164553324383,18832.250595092773,19868.44346523285,20218.1143116951,2862.934137980143,2157.2924852371216,6249.541282653809,7557.7255511283865,32.4492224690101,26.706218719482422,50.2032995223999,56.10466003417969,2769.573909124499,150.0,307344.0,75622.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,14219.516836802164,14369.840860366821,14725.402641296387,14954.076299667358,1077.8659582138062,887.256383895874,2415.9579277038574,3100.142104625701,26.10854111817691,24.573802947998047,33.74505043029785,38.08903694152832,3476.2099751093265,150.0,307344.0,75652.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,16563.284935951233,16690.53089618683,17816.696214675903,17961.563141345978,988.7811374664307,838.796854019165,1812.476658821106,2084.7331380844107,31.578468051785617,27.202129364013672,52.69575119018555,62.54911422729492,3280.4278038794173,150.0,307344.0,75630.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,12732.877098719278,12889.18673992157,13710.675930976868,13865.907561779022,326.0559606552124,292.1898365020752,528.4709453582763,736.456716060638,24.754884088311186,22.485971450805664,35.01772880554199,45.37754774093628,4141.091003380028,150.0,307344.0,75328.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,25.0,512.0,0.7,0.9,13135.28248945872,13130.768060684204,14570.940279960632,14800.036053657532,330.9321880340576,311.6413354873657,435.7743740081787,524.624273777008,26.075621254728286,22.996902465820312,40.05451202392579,61.31336212158203,4323.376565227599,150.0,307344.0,75757.0
