Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
Qwen/Qwen2.5-7B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,16773.17820072174,17527.513027191162,21042.77672767639,21955.741622447968,5875.947543780009,5006.399750709534,12376.127076148987,14433.305265903473,21.325298777142926,23.851633071899414,25.137662887573242,28.359651565551758,3.857137362162272,3.5996437072753906,4.669141769409179,7.848072052001951,16777.035338083904,17531.36909008026,21046.05197906494,21958.26640367508,2541.3385743221843,150.0,458019.0,76800.0
Qwen/Qwen2.5-7B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,14692.220296859741,14894.526839256287,18939.33138847351,20164.20082807541,5213.878645896912,5267.012715339661,9620.655703544617,11106.880757808685,18.577207130439504,18.537282943725586,19.424176216125492,27.586936950683594,3.9073848724365234,3.7137269973754883,4.922008514404297,7.791888713836668,14696.127681732178,14898.199319839478,18942.803168296814,20166.82422399521,2709.506216200836,150.0,458019.0,76682.0
Qwen/Qwen2.5-7B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,14066.07516447703,13946.754574775696,18368.087577819824,19562.289621829987,4945.185731252034,4748.222351074219,9299.322032928467,10760.234305858612,17.84909284122614,17.76599884033203,18.648624420166016,25.580658912658684,3.869622548421224,3.5283565521240234,5.0553083419799805,8.000712394714354,14069.944787025452,13950.4873752594,18372.33443260193,19564.80290412903,2801.0379828941823,150.0,458019.0,76800.0
Qwen/Qwen2.5-7B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,10557.86732673645,10562.841653823853,10833.10489654541,11030.077693462372,908.6440769831339,580.6821584701538,2019.4587707519531,2364.4169473648067,18.89632713627246,18.02217960357666,24.306535720825195,31.368017196655273,3.881038029988607,3.572702407836914,4.800891876220703,8.283646106719969,10561.74836476644,10566.683053970337,10836.779046058655,11034.572396278381,3798.9196323209335,150.0,458019.0,76746.0
Qwen/Qwen2.5-7B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,9669.291842778524,9670.291185379028,9914.963030815125,10156.593425273895,313.90175342559814,302.6465177536011,517.1283721923828,755.4031682014461,18.33838308143997,17.67706871032715,22.51887321472168,32.12547302246094,3.9270702997843423,3.5970211029052734,4.73942756652832,8.4188437461853,9673.218913078308,9674.229979515076,9918.631863594055,10160.751738548279,3739.1783883134017,150.0,458019.0,76707.0
Qwen/Qwen2.5-7B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,10194.334219296774,10433.484435081482,10783.38131904602,10948.683414459229,677.9064782460531,752.9971599578857,1082.4937343597412,1216.1820387840269,18.65307375692693,17.899036407470703,23.196697235107422,31.982121467590332,3.844353357950846,3.525972366333008,4.8915863037109375,8.26749563217163,10198.178572654724,10439.108967781067,10787.103962898254,10951.99194431305,4051.51190958146,150.0,458019.0,76677.0
Qwen/Qwen2.5-7B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,8611.896673838297,8708.093285560608,9253.652572631836,9373.94156217575,187.41355895996094,154.20985221862793,341.0033941268921,448.71490240097035,16.52636661654762,14.886140823364258,21.132397651672363,30.556766986846924,3.8956801096598306,3.620624542236328,4.819083213806152,8.531579971313475,8615.792353947958,8711.997866630554,9257.143592834473,9378.023607730865,4532.4838360075955,150.0,458019.0,76614.0
Qwen/Qwen2.5-7B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,9698.89725526174,9765.424370765686,10095.697259902954,10224.603416919708,208.01679929097494,178.2926321029663,366.1674499511718,530.1824665069577,18.669845127611335,17.637014389038086,22.788286209106445,35.242557525634766,4.359984397888184,3.8514137268066406,6.255435943603516,10.340623855590787,9703.257239659628,9768.983960151672,10099.506568908691,10231.304769515991,4527.839858735746,150.0,458019.0,76435.0
Qwen/Qwen2.5-7B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,8455.581350326538,8549.697160720825,9200.872492790222,9351.643695831299,172.43478933970133,148.0555534362793,273.92165660858154,394.02111768722534,16.939176297642547,14.548063278198242,23.354625701904247,34.93680000305176,3.913580576578776,3.66973876953125,4.856681823730468,8.2279634475708,8459.494930903116,8553.783893585205,9205.444931983948,9356.15875005722,5143.512387940237,150.0,458019.0,76516.0
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,16824.925621350605,17397.424936294556,19747.49858379364,19980.39166212082,3958.0888589223227,3008.262515068054,9297.846817970276,10656.029639244078,25.590700637178454,25.551319122314453,32.62901306152344,33.521175384521484,2.926497459411621,2.9091835021972656,3.4145593643188477,4.050273895263669,16827.852118810017,17400.158047676086,19750.597071647644,19983.4006357193,2704.782606374465,150.0,307344.0,75569.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,20.0,512.0,0.7,0.9,12996.079831123352,12962.324857711792,15738.02719116211,16296.155042648315,2548.9739561080933,2225.2389192581177,5283.485198020934,6180.9113359451285,20.804607657545024,20.722627639770508,22.536277770996094,26.68309211730957,2.951793670654297,2.979755401611328,3.432607650756836,3.8585686683654767,12999.031624794006,12965.134501457214,15740.42809009552,16298.462777137756,3011.866358025243,150.0,307344.0,75473.0
