Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,64663.365445137024,73317.80004501343,83299.78420734406,89160.76070547104,25123.233098983765,23377.56633758545,49635.29932498932,70165.61147451401,78.44744901730895,88.41419219970703,95.3211784362793,99.3034839630127,2.9813559850056968,3.0312538146972656,3.497052192687988,3.949165344238277,64666.34680112203,73321.03383541107,83302.9736995697,89163.55725049973,718.5267302079959,150.0,307344.0,75755.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,81622.43248462677,85462.78846263885,88628.52182388306,88854.52780246735,27228.518970807392,21972.004413604736,59204.585099220276,68357.71824836731,108.41631405263922,119.01092529296875,164.17417526245117,177.90637969970703,3.0867226918538413,3.109455108642578,3.5779714584350586,3.8902974128723136,81625.51920731862,85466.01498126984,88631.44068717957,88857.26361989975,693.4414411656672,150.0,307344.0,75407.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,73445.59437115987,77022.94194698334,78738.88721466064,78936.36364459991,27262.479672431946,23977.93710231781,54791.76239967346,62295.01399993896,92.30468691546945,111.47141456604004,132.2314739227295,135.97512245178223,2.9950761795043945,3.0143260955810547,3.472733497619629,3.9532852172851554,73448.58944733937,77025.9360074997,78741.45424365997,78939.66732740402,786.6615277584275,150.0,307344.0,75200.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,114313.501106898,118738.89720439911,122031.37781620026,122312.20341444016,47336.53875986735,44214.33937549591,91959.69533920288,103307.2335600853,132.73453121527768,173.53200912475586,187.81661987304688,191.52116775512695,2.875016530354818,2.9251575469970703,3.1935930252075195,3.736371994018551,114316.37612342834,118741.68789386749,122034.34553146362,122314.79711532593,541.3357639917707,150.0,307344.0,75839.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,39919.2278846105,40227.476358413696,41396.68264389038,42984.98093843459,2667.3414595921836,1545.879602432251,5200.945258140563,16117.83251285537,74.00840448071975,70.83630561828613,96.9259262084961,125.5636215209961,2.94405460357666,2.9129981994628906,3.3928871154785156,4.704496860504142,39922.17193921407,40230.25631904602,41399.040722846985,42987.345221042626,1239.1831499404655,150.0,307344.0,75652.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,39303.96352608999,39268.18597316742,43736.50689125061,44173.632860183716,5920.8494059244795,4843.023419380188,11660.80446243286,13851.865639686584,66.31000972133842,50.458431243896484,114.26913738250732,123.15007448196411,3.059279123942057,3.0663013458251953,3.4713268280029292,4.237978458404539,39307.02280521393,39271.079659461975,43739.14580345154,44176.649050712585,1378.6624309022266,150.0,307344.0,75666.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,36859.3817615509,36705.78122138977,41272.027230262756,41672.33941078186,7233.838024139404,6912.258982658386,13333.889460563658,15423.226120471953,58.946916192921414,39.69311714172363,109.82131958007812,114.78424072265625,2.9791688919067383,2.967715263366699,3.378462791442871,4.787552356719965,36862.36093044281,36708.56976509094,41274.99282360077,41676.12616062164,1495.2487708440028,150.0,307344.0,75537.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,23459.426608085632,24138.047575950623,25588.272047042847,25700.134580135345,362.08635807037354,341.8762683868408,506.284236907959,721.7151999473571,45.99658369839167,43.87521743774414,63.17310333251953,76.04527473449707,3.0440314610799155,2.9872655868530273,3.542661666870117,4.189293384551999,23462.47063954671,24140.93792438507,25591.179513931274,25702.41528749466,1927.5111336032485,150.0,307344.0,75473.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,23288.27543735504,23418.45989227295,29032.102012634277,30309.89417076111,744.9391508102417,654.7590494155884,1094.0810203552246,1441.2960124015801,44.828455882937725,33.33139419555664,100.09121894836426,149.9564814567566,2.9048792521158853,2.912282943725586,3.2862186431884766,4.089453220367429,23291.18031660716,23421.25427722931,29034.031987190247,30313.983623981476,2109.5003930840426,150.0,307344.0,75582.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,20047.816529273987,20494.782090187073,22656.216192245483,23040.801992416382,316.626451810201,296.6400384902954,411.43355369567865,497.9658508300781,39.340681202712844,35.19105911254883,55.28590679168701,63.49038124084494,3.0927721659342446,3.0524730682373047,3.544783592224121,4.766557216644285,20050.909301439922,20497.467160224915,22658.224844932556,23046.749355793,2184.1079228684494,150.0,307344.0,75382.0
