time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.08,0.082,0.08099999999999999,0.081,0.00043643578047198515,0.10300000000000001,0.10400000000000001,0.10310000000000001,0.10300000000000001,0.00030000000000000024,0.495,0.497,0.49590000000000006,0.496,0.0005385164807134509,0.065,0.066,0.06520000000000001,0.065,0.0004000000000000003,0.369,0.372,0.3701,0.37,0.0007000000000000008,0.10300000000000001,0.10400000000000001,0.10380000000000003,0.10400000000000001,0.00040000000000000034,3.423,3.456,3.4359,3.434,0.008306021911842012,0.466,0.467,0.46690000000000004,0.467,0.00030000000000000024,2.045,2.047,2.0463,2.0460000000000003,0.0005567764362829927,0.076,0.078,0.0766,0.077,0.0005830951894845307,12,2,1536,8960,151936,True,4096,1
0.081,0.083,0.08166666666666668,0.082,0.0005634361698190116,0.10300000000000001,0.10400000000000001,0.10310000000000001,0.10300000000000001,0.00030000000000000024,0.495,0.501,0.49665,0.496,0.0014239030865898154,0.065,0.066,0.0653,0.065,0.0004582575694955844,0.37,0.374,0.3709000000000001,0.371,0.001044030650891056,0.10300000000000001,0.10400000000000001,0.10375000000000001,0.10400000000000001,0.00043301270189221973,3.4250000000000003,3.459,3.4346000000000005,3.432,0.008828363381737338,0.466,0.468,0.46699999999999997,0.467,0.0003162277660168382,2.045,2.064,2.0482,2.047,0.00529716905525957,0.076,0.078,0.07650000000000001,0.076,0.0006708203932499375,12,2,1536,8960,151936,True,4096,1
0.08,0.082,0.08095238095238096,0.081,0.00048562090605645613,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,0.495,0.501,0.49654999999999994,0.496,0.001160818676624391,0.064,0.065,0.06460000000000002,0.065,0.000489897948556636,0.369,0.373,0.3705,0.37,0.0008660254037844396,0.10200000000000001,0.10300000000000001,0.10295000000000001,0.10300000000000001,0.00021794494717703385,3.422,3.46,3.43255,3.43,0.008616698903872604,0.463,0.464,0.46335,0.463,0.00047696960070847325,2.047,2.066,2.05025,2.049,0.0048049453690963,0.075,0.077,0.07554999999999998,0.0755,0.0005894913061275802,12,2,1536,8960,151936,True,4064,1
0.08,0.081,0.08047619047619048,0.08,0.0004994327848429298,0.101,0.10300000000000001,0.10195000000000001,0.10200000000000001,0.0004974937185533105,0.495,0.496,0.49544999999999983,0.495,0.0004974937185533104,0.064,0.064,0.06400000000000002,0.064,1.3877787807814457e-17,0.369,0.372,0.37050000000000005,0.3705,0.0006708203932499374,0.101,0.10200000000000001,0.1012,0.101,0.00040000000000000034,3.42,3.436,3.427250000000001,3.4255,0.005107592387808583,0.459,0.46,0.45940000000000003,0.459,0.0004898979485566361,2.044,2.047,2.0456999999999996,2.0460000000000003,0.0009000000000000886,0.074,0.076,0.07435,0.074,0.0005722761571129803,12,2,1536,8960,151936,True,4032,1
0.079,0.081,0.0803809523809524,0.08,0.0005753831415997421,0.101,0.10200000000000001,0.10115,0.101,0.0003570714214271428,0.495,0.497,0.49605,0.496,0.0005894913061275802,0.063,0.064,0.06319999999999999,0.063,0.00040000000000000034,0.371,0.372,0.37150000000000005,0.3715,0.0005000000000000004,0.101,0.10200000000000001,0.10115,0.101,0.00035707142142714284,3.415,3.4250000000000003,3.42045,3.42,0.002710627233685997,0.455,0.456,0.45585,0.456,0.0003570714214271428,1.866,1.868,1.8668,1.867,0.000678232998312511,0.07100000000000001,0.073,0.072,0.07200000000000001,0.0006324555320336721,12,2,1536,8960,151936,True,4000,1
0.079,0.081,0.07990476190476192,0.08,0.000525969572247013,0.101,0.101,0.101,0.101,0.0,0.494,0.496,0.49555,0.496,0.0005894913061275802,0.065,0.066,0.06590000000000001,0.066,0.00030000000000000024,0.371,0.372,0.37165,0.372,0.00047696960070847325,0.099,0.101,0.10015,0.1,0.0004769696007084733,3.399,3.432,3.411500000000001,3.4090000000000003,0.008896628574915317,0.45,0.451,0.4504,0.45,0.0004898979485566361,1.864,1.869,1.8657499999999998,1.8655,0.0010897247358851682,0.07,0.07200000000000001,0.0711,0.07100000000000001,0.00043588989435406776,12,2,1536,8960,151936,True,3968,1
0.077,0.079,0.07861904761904762,0.079,0.000575383141599742,0.099,0.1,0.09905,0.099,0.00021794494717703385,0.494,0.496,0.49505,0.495,0.0007399324293474377,0.065,0.066,0.06515,0.065,0.00035707142142714284,0.372,0.373,0.3721,0.372,0.00030000000000000024,0.099,0.099,0.099,0.099,0.0,3.386,3.398,3.3931999999999993,3.3935000000000004,0.0034583232931581337,0.447,0.448,0.4473999999999999,0.447,0.000489897948556636,1.865,1.868,1.8666,1.867,0.0006633249580710571,0.07,0.07100000000000001,0.07045000000000001,0.07,0.0004974937185533104,12,2,1536,8960,151936,True,3936,1
0.077,0.079,0.07823809523809525,0.078,0.000525969572247013,0.099,0.099,0.099,0.099,0.0,0.494,0.496,0.49484999999999985,0.495,0.0005722761571129803,0.064,0.065,0.06489999999999999,0.065,0.00030000000000000024,0.37,0.372,0.3710000000000001,0.371,0.0003162277660168382,0.099,0.099,0.099,0.099,0.0,3.384,3.394,3.3897000000000004,3.39,0.0025514701644346453,0.443,0.444,0.44304999999999994,0.443,0.0002179449471770339,1.865,1.867,1.8654,1.865,0.0005830951894845648,0.069,0.07,0.06955000000000001,0.07,0.0004974937185533104,12,2,1536,8960,151936,True,3904,1
0.077,0.079,0.07757142857142858,0.078,0.0005832118435198048,0.097,0.098,0.09765000000000001,0.098,0.0004769696007084732,0.494,0.496,0.4949,0.495,0.0007681145747868615,0.064,0.065,0.06420000000000001,0.064,0.0004000000000000003,0.371,0.371,0.3710000000000001,0.371,1.1102230246251565e-16,0.097,0.098,0.09790000000000001,0.098,0.00030000000000000024,3.386,3.4050000000000002,3.3962500000000007,3.3970000000000002,0.004635461142108765,0.439,0.441,0.43975,0.44,0.0005361902647381809,1.863,1.866,1.8646999999999998,1.865,0.0007141428428542732,0.068,0.07,0.06920000000000001,0.069,0.0005099019513592789,12,2,1536,8960,151936,True,3872,1
0.076,0.079,0.07757142857142857,0.078,0.0006598288790738586,0.097,0.098,0.09709999999999999,0.097,0.00030000000000000024,0.373,0.374,0.37384999999999996,0.374,0.0003570714214271428,0.064,0.065,0.0649,0.065,0.00030000000000000024,0.371,0.372,0.3716500000000001,0.372,0.00047696960070847325,0.097,0.098,0.09775000000000003,0.098,0.0004330127018922198,3.277,3.36,3.29915,3.2935,0.019749113904172992,0.435,0.437,0.43605,0.436,0.0004974937185533105,1.6640000000000001,1.673,1.6694,1.67,0.0021999999999999698,0.073,0.075,0.07355,0.073,0.0006689544080129832,12,2,1536,8960,151936,True,3840,1
