,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.025,0.067,0.051333333333333335,0.062,0.018732028424302823,0,8,2048,all_reduce,8,8
1,0.045,0.064,0.056333333333333326,0.06,0.008178562764256865,0,8,10240,all_reduce,8,8
2,0.044,0.064,0.052,0.048,0.008640987597877148,0,8,18432,all_reduce,8,8
3,0.054,0.064,0.06,0.062,0.004320493798938574,0,8,26624,all_reduce,8,8
4,0.064,0.065,0.06433333333333334,0.064,0.00047140452079103207,0,8,34816,all_reduce,8,8
5,0.065,0.07,0.06766666666666667,0.068,0.0020548046676563273,0,8,43008,all_reduce,8,8
6,0.068,0.085,0.07400000000000001,0.069,0.0077888809636986155,0,8,51200,all_reduce,8,8
7,0.079,0.096,0.085,0.08,0.0077888809636986155,0,8,59392,all_reduce,8,8
8,0.084,0.09,0.08633333333333333,0.085,0.0026246692913372664,0,8,67584,all_reduce,8,8
9,0.094,0.099,0.09600000000000002,0.095,0.0021602468994692888,0,8,75776,all_reduce,8,8
10,0.10300000000000001,0.131,0.11266666666666668,0.10400000000000001,0.012970050972229145,0,8,83968,all_reduce,8,8
11,0.113,0.138,0.122,0.115,0.011343133018115709,0,8,92160,all_reduce,8,8
12,0.124,0.158,0.13633333333333333,0.127,0.015369522511198004,0,8,100352,all_reduce,8,8
13,0.136,0.17500000000000002,0.15033333333333335,0.14,0.01751824445796122,0,8,108544,all_reduce,8,8
14,0.14,0.146,0.1426666666666667,0.14200000000000002,0.0024944382578492843,0,8,116736,all_reduce,8,8
15,0.153,0.157,0.155,0.155,0.0016329931618554536,0,8,124928,all_reduce,8,8
16,0.164,0.167,0.16533333333333333,0.165,0.0012472191289246482,0,8,133120,all_reduce,8,8
17,0.17200000000000001,0.176,0.17366666666666666,0.17300000000000001,0.0016996731711975837,0,8,141312,all_reduce,8,8
18,0.181,0.188,0.18533333333333335,0.187,0.0030912061651652374,0,8,149504,all_reduce,8,8
19,0.195,0.198,0.19633333333333333,0.196,0.0012472191289246482,0,8,157696,all_reduce,8,8
20,0.199,0.20500000000000002,0.20099999999999998,0.199,0.0028284271247461927,0,8,165888,all_reduce,8,8
21,0.211,0.212,0.21166666666666667,0.212,0.00047140452079103207,0,8,174080,all_reduce,8,8
22,0.221,0.225,0.22233333333333336,0.221,0.0018856180831641283,0,8,182272,all_reduce,8,8
23,0.23,0.233,0.2316666666666667,0.232,0.0012472191289246482,0,8,190464,all_reduce,8,8
24,0.23700000000000002,0.245,0.24033333333333332,0.23900000000000002,0.0033993463423951805,0,8,198656,all_reduce,8,8
25,0.243,0.25,0.24633333333333332,0.246,0.002867441755680878,0,8,206848,all_reduce,8,8
26,0.255,0.261,0.25733333333333336,0.256,0.002624669291337273,0,8,215040,all_reduce,8,8
27,0.266,0.267,0.26666666666666666,0.267,0.00047140452079103207,0,8,223232,all_reduce,8,8
