Time (sec),request_arrival,replica
0.18587822790020653,1,0
1.4282741652495143,2,0
2.439661213850804,3,0
3.8674912794396046,4,0
4.738288605227173,5,0
5.24228243716196,6,0
6.337738975085511,7,0
7.134390131074273,8,0
7.902172335208592,9,0
8.562177023416455,10,0
9.253034808023447,11,0
9.825614403453466,12,0
10.441339122315064,13,0
11.895105649925805,14,0
12.620907312753477,15,0
13.636470902233178,16,0
0.2581054418999912,1,1
1.5030915342908466,2,1
2.447904286645341,3,1
3.894549315955471,4,1
4.796134282485957,5,1
5.4657619810465015,6,1
6.356555865258917,7,1
7.239520993032181,8,1
8.00298405064613,9,1
8.595488787439717,10,1
9.318225739733611,11,1
9.912519268068793,12,1
10.452805560085608,13,1
12.05284570397926,14,1
12.729112828100911,15,1
13.767643894638669,16,1
0.5026239187698309,1,2
1.561004405250437,2,2
2.6676691302857094,3,2
3.973138134280582,4,2
4.875389348924266,5,2
5.616369089588529,6,2
6.384434466632794,7,2
7.258344351644796,8,2
8.105381583916207,9,2
8.602997717176656,10,2
9.52849051551531,11,2
9.933174612642292,12,2
10.468501799428651,13,2
12.127430300090746,14,2
12.753428207162882,15,2
13.778671906980861,16,2
0.6520286474043208,1,3
1.8877646149933345,2,3
2.7925142299716663,3,3
3.978737149415827,4,3
4.901647924060357,5,3
5.663181526098627,6,3
6.385358154759903,7,3
7.273548949712905,8,3
8.150673324295209,9,3
8.64430121577366,10,3
9.551326656543973,11,3
10.082147362476016,12,3
10.843501799428651,13,3
12.167153562786975,14,3
12.996205327901155,15,3
13.84586247694576,16,3
0.6643926149444088,1,4
2.016820332956791,2,4
2.9699117525845815,3,4
3.999684420308469,4,4
4.919044405016743,5,4
5.886348892776472,6,4
6.578621672395099,7,4
7.411528298160123,8,4
8.154586160737452,9,4
8.687746814904635,10,4
9.554198402203138,11,4
10.156006452213798,12,4
11.142539119607381,13,4
12.179823374336326,14,4
13.173826162656459,15,4
13.851175582048043,16,4
1.0393926149444088,1,5
2.2331027873161404,2,5
3.024633039957767,3,5
4.1433104132662475,4,5
4.999756984424623,5,5
6.090542396136543,6,5
6.71526912764862,7,5
7.491146889138603,8,5
8.226332886218005,9,5
8.823304616923215,10,5
9.565993811592302,11,5
10.215966989442919,12,5
11.292913752093453,13,5
12.470942583562485,14,5
13.332707349955594,15,5
13.93632564030726,16,5
1.2183771680830981,1,6
2.3063445298344227,2,6
3.399633039957767,3,6
4.314005344092296,4,6
5.03192685513306,5,6
6.1518137758420055,6,6
6.867936713317787,7,6
7.59526591023464,8,6
8.256525713955755,9,6
8.925086878200645,10,6
9.726172265279871,11,6
10.260821665409571,12,6
11.33154738982286,13,6
12.546991944154405,14,6
13.403432059467972,15,6
13.986359445591871,16,6
1.4111371432162756,1,7
2.338567667730464,2,7
3.6791404225404687,3,7
4.689005344092296,4,7
5.170439246487655,5,7
6.194331062580397,6,7
7.057617589908098,7,7
7.7762865230834315,8,7
8.322168466744031,9,7
9.11658759422144,10,7
9.80363083381668,11,7
10.385198706702981,12,7
11.70654738982286,13,7
12.575254710352901,14,7
13.526807708651935,15,7
14.005871628165147,16,7
