Time (sec),request_completion,replica
9.99030740056248,1,0
15.866349200426514,2,0
21.5681167136125,3,0
21.835955384468065,4,0
24.41805221592296,5,0
25.244414328410848,6,0
26.64951994587868,7,0
26.761467394518206,8,0
27.679693133407568,9,0
31.12502954655292,10,0
31.140520958851422,11,0
31.90610321075393,12,0
33.43779252896322,13,0
34.086249561855745,14,0
34.25698063363658,15,0
34.571982377953695,16,0
15.377534323323228,1,1
22.763539691287203,2,1
26.22651749430819,3,1
33.97291190488813,4,1
34.80253572178043,5,1
38.97210679453873,6,1
39.762097217443426,7,1
53.506108911014685,8,1
73.01581366770748,9,1
74.8046022040985,10,1
76.03516890199663,11,1
77.07318407367329,12,1
78.32751181148822,13,1
80.25595001051266,14,1
82.7132055255049,15,1
83.93166548272028,16,1
7.7722571172774595,1,2
8.00818255233569,2,2
31.523936240852873,3,2
32.938516057133825,4,2
37.59044891232715,5,2
37.60808583784736,6,2
37.86845481690821,7,2
37.95530052630215,8,2
39.98347172589374,9,2
40.362945997453714,10,2
40.900614898984294,11,2
41.451184899525934,12,2
42.44703820967198,13,2
42.92145489022892,14,2
43.986777891111295,15,2
44.11276389993926,16,2
31.01586791692176,1,3
37.92083045031221,2,3
56.31911376923995,3,3
59.15093583358902,4,3
59.30300505348843,5,3
68.04469636587596,6,3
68.75227491994904,7,3
68.87146698017257,8,3
69.03967219830018,9,3
69.17463770074379,10,3
69.42067903946126,11,3
70.16480442425349,12,3
72.22875376013286,13,3
73.24328584736548,14,3
73.99427110549703,15,3
74.21427081999425,16,3
1.4454966186786826,1,4
8.281228371122177,2,4
9.774239075114092,3,4
13.707367249526104,4,4
19.866534160902184,5,4
21.780377879423664,6,4
22.323301285197495,7,4
23.830867765721266,8,4
24.094130746831063,9,4
24.828688975250174,10,4
25.350041941004278,11,4
27.242999582922863,12,4
27.685354220518576,13,4
28.788684607594146,14,4
29.525441362709884,15,4
29.835509774916357,16,4
5.502680841994306,1,5
15.960543452137633,2,5
19.067585727356565,3,5
19.202197087788274,4,5
27.6616641040139,5,5
29.50095158070879,6,5
30.492057966261267,7,5
30.606149621748806,8,5
30.853861854529065,9,5
32.08249873925562,10,5
32.63534766386819,11,5
32.74857560663658,12,5
33.51573120423865,13,5
33.935445772027435,14,5
34.879333023192316,15,5
35.01109664160556,16,5
6.056254452678537,1,6
23.539013424685667,2,6
23.539013424685667,3,6
29.60905569778786,4,6
29.73279458747799,5,6
29.76680464229441,6,6
30.46731074929663,7,6
30.68707871358371,8,6
30.976858923066278,9,6
31.50033172489964,10,6
31.905180181311195,11,6
32.65277542265387,12,6
32.69626336800847,13,6
33.76390425770025,14,6
33.95633467815613,15,6
36.84138129876439,16,6
16.488690897417694,1,7
18.364753806584435,2,7
19.952657363576623,3,7
44.674753674372056,4,7
46.22346371223179,5,7
48.131108086175814,6,7
51.57474002154467,7,7
68.34499511607953,8,7
70.17639033025293,9,7
77.58411490085777,10,7
78.80712228329932,11,7
81.7705468451711,12,7
82.26599277778207,13,7
82.26599277778207,14,7
84.6350163933458,15,7
84.97347749257229,16,7
